struktura;rozmiar;insert_ns;find_max_ns;extract_max_ns;modify_key_ns;return_size_ns
Kopiec_binarny;5000;51;27;179;2269;25
Tablica_dynamiczna;5000;33;6297;5365;2658;29
Kopiec_binarny;8000;49;27;185;3165;25
Tablica_dynamiczna;8000;25;6156;6229;4290;26
Kopiec_binarny;10000;52;26;190;4199;25
Tablica_dynamiczna;10000;45;7728;7815;5589;26
Kopiec_binarny;16000;62;25;232;5962;27
Tablica_dynamiczna;16000;36;12265;13271;8456;24
Kopiec_binarny;20000;46;30;212;8351;24
Tablica_dynamiczna;20000;36;15166;16849;10562;26
Kopiec_binarny;40000;96;24;270;13392;26
Tablica_dynamiczna;40000;37;30312;34703;19915;25
Kopiec_binarny;60000;42;26;249;23668;21
Tablica_dynamiczna;60000;42;47317;57242;25768;25
Kopiec_binarny;100000;97;27;247;31381;25
Tablica_dynamiczna;100000;38;81445;78309;35927;48
