struktura;rozmiar;insert_ns;find_max_ns;extract_max_ns;modify_key_ns;return_size_ns
Kopiec_binarny;5000;44;25;160;1881;31
Tablica_dynamiczna;5000;27;3839;3842;2804;24
Kopiec_binarny;8000;50;26;209;3362;30
Tablica_dynamiczna;8000;32;6095;9028;4417;24
Kopiec_binarny;10000;58;28;277;4085;28
Tablica_dynamiczna;10000;42;7840;8137;5620;25
Kopiec_binarny;16000;77;53;243;6003;28
Tablica_dynamiczna;16000;40;12319;12282;8017;23
Kopiec_binarny;20000;34;25;217;8696;24
Tablica_dynamiczna;20000;34;15261;16780;10612;24
Kopiec_binarny;40000;43;26;247;13642;26
Tablica_dynamiczna;40000;40;31387;30961;18497;25
Kopiec_binarny;60000;48;26;241;20796;27
Tablica_dynamiczna;60000;47;50509;49251;31623;24
Kopiec_binarny;100000;35;26;243;26955;25
Tablica_dynamiczna;100000;40;79459;80396;38791;52
