struktura;rozmiar;insert_ns;find_max_ns;extract_max_ns;modify_key_ns;return_size_ns
Kopiec_binarny;5000;53;33;205;2349;36
Tablica_dynamiczna;5000;36;4960;4359;3153;29
Kopiec_binarny;8000;49;28;204;4341;22
Tablica_dynamiczna;8000;33;6739;6761;4921;31
Kopiec_binarny;10000;50;29;209;4677;28
Tablica_dynamiczna;10000;39;9036;8421;5878;36
Kopiec_binarny;16000;46;31;444;8754;32
Tablica_dynamiczna;16000;39;13519;13528;11065;24
Kopiec_binarny;20000;95;33;267;9195;36
Tablica_dynamiczna;20000;43;16965;19001;11527;24
Kopiec_binarny;40000;48;31;250;17542;36
Tablica_dynamiczna;40000;30;38196;36990;20780;63
Kopiec_binarny;60000;52;31;293;23450;19
Tablica_dynamiczna;60000;43;50572;52957;26504;30
Kopiec_binarny;100000;58;30;273;31606;50
Tablica_dynamiczna;100000;40;77515;80041;37079;50
