struktura;rozmiar;insert_ns;find_max_ns;extract_max_ns;modify_key_ns;return_size_ns
Kopiec_binarny;5000;45;28;181;1995;25
Tablica_dynamiczna;5000;46;3856;3850;2701;23
Kopiec_binarny;8000;49;28;209;3324;25
Tablica_dynamiczna;8000;32;6252;6191;4251;24
Kopiec_binarny;10000;43;27;196;4138;29
Tablica_dynamiczna;10000;31;7663;7651;5453;22
Kopiec_binarny;16000;53;54;223;6279;25
Tablica_dynamiczna;16000;100;12200;12249;9334;24
Kopiec_binarny;20000;74;27;532;7346;30
Tablica_dynamiczna;20000;37;15877;15521;10425;45
Kopiec_binarny;40000;45;26;241;15540;22
Tablica_dynamiczna;40000;32;30363;32761;18716;57
Kopiec_binarny;60000;43;27;247;19227;26
Tablica_dynamiczna;60000;36;49154;50098;27898;50
Kopiec_binarny;100000;47;40;331;30030;54
Tablica_dynamiczna;100000;39;77438;80595;39315;27
